POST_ID,Title,URL,Author,Category,Tags,Date
3151811,Patti LaBelle: 5 Things On The Iconic R&amp;B Singer Performing On The ‘American Idol’&nbsp;Finale,http://hollywoodlife.com/?p=3151811,81910789,"[378005375, 378005365]","[34983, 481124]",2018-05-21T11:56:20
3151677,Khloe Kardashian Reveals Shockingly Flat Abs Just 5 Weeks After Birth of Baby True Thompson:&nbsp;Pic,http://hollywoodlife.com/?p=3151677,32591252,"[378005378, 378005365]",[378004958],2018-05-21T11:55:45
3151644,Nicki Minaj Joins Forces With Tina Fey For HAIM Parody on &#8216;SNL&#8217; Cut For Time &amp; That’s A CRIME —&nbsp;Watch,http://hollywoodlife.com/?p=3151644,10461369,"[378004978, 462]","[4742204, 21678, 319153]",2018-05-21T11:42:02
3151642,Wendy Williams Slams Taylor Swift As &#8216;Unlikable&#8217; After Blocking Darren Criss&#8217; View Of BBMAs&nbsp;Stage,http://hollywoodlife.com/?p=3151642,106768302,"[378005375, 378005365]","[4142086, 3421347, 378004952, 378487]",2018-05-21T11:35:49
3151679,&#8216;Teen Mom 2&#8217;: Chelsea Houska Reportedly Skips Reunion After Getting &#8216;Upset&#8217; By Briana &amp; Kailyn&#8217;s&nbsp;Fight,http://hollywoodlife.com/?p=3151679,106336134,"[378004978, 462]","[86579782, 32686059, 47849097, 47849098, 38215287]",2018-05-21T11:22:26
3151669,Kendall Jenner Sprints Through Paris Revealing Toned Abs In New Video &#8212; Watch Gorgeous&nbsp;Film,http://hollywoodlife.com/?p=3151669,37017106,"[378005372, 378005381]",[378004926],2018-05-21T11:09:56
3145770,Brynn Cartelli: 5 Things To Know About The 15-Year-Old Powerhouse On &#8216;The&nbsp;Voice&#8217;,http://hollywoodlife.com/?p=3145770,109685740,"[378004978, 462]",[179408],2018-05-21T10:50:33
3151633,Lee Brice: 5 Things To Know About Country Singer Performing At Miss USA&nbsp;2018,http://hollywoodlife.com/?p=3151633,83887747,"[378005375, 378005365]",[1854065],2018-05-21T10:45:19
3151634,Prince Harry &amp; Meghan Markle Look Overjoyed In Official Wedding&nbsp;Portrait,http://hollywoodlife.com/?p=3151634,81910789,"[378005375, 378005365]","[378003384, 247778, 378006303]",2018-05-21T10:29:29
3151549,Prince Jackson &amp; Mom Katherine Support Janet At BBMAs — But Where Was&nbsp;Paris?,http://hollywoodlife.com/?p=3151549,10461369,"[378005375, 378005365]","[3662, 4506161, 13455872]",2018-05-21T10:27:33
3151716,Summer TV Schedule 2018: When &#8216;America&#8217;s Got Talent&#8217; &amp; More&nbsp;Premiere,http://hollywoodlife.com/?p=3151716,109685740,"[378004978, 462]",[260754],2018-05-21T12:21:44
3151808,Jennifer Lopez Literally Cut Up A $100 Bill For Special &#8216;Dinero&#8217; Nails at&nbsp;Billboards,http://hollywoodlife.com/?p=3151808,37017106,"[378005033, 15823184]","[378005012, 216718]",2018-05-21T12:15:02
3151811,Patti LaBelle: 5 Things On The Iconic R&amp;B Singer Performing On The ‘American Idol’&nbsp;Finale,http://hollywoodlife.com/?p=3151811,81910789,"[378005375, 378005365]","[34983, 481124]",2018-05-21T11:56:20
3151677,Khloe Kardashian Reveals Shockingly Flat Abs Just 5 Weeks After Birth of Baby True Thompson:&nbsp;Pic,http://hollywoodlife.com/?p=3151677,32591252,"[378005378, 378005365]",[378004958],2018-05-21T11:55:45
3151644,Nicki Minaj Joins Forces With Tina Fey For HAIM Parody on &#8216;SNL&#8217; Cut For Time &amp; That’s A CRIME —&nbsp;Watch,http://hollywoodlife.com/?p=3151644,10461369,"[378004978, 462]","[4742204, 21678, 319153]",2018-05-21T11:42:02
3151642,Wendy Williams Slams Taylor Swift As &#8216;Unlikable&#8217; After Blocking Darren Criss&#8217; View Of BBMAs&nbsp;Stage,http://hollywoodlife.com/?p=3151642,106768302,"[378005375, 378005365]","[4142086, 3421347, 378004952, 378487]",2018-05-21T11:35:49
3151679,&#8216;Teen Mom 2&#8217;: Chelsea Houska Reportedly Skips Reunion After Getting &#8216;Upset&#8217; By Briana &amp; Kailyn&#8217;s&nbsp;Fight,http://hollywoodlife.com/?p=3151679,106336134,"[378004978, 462]","[86579782, 32686059, 47849097, 47849098, 38215287]",2018-05-21T11:22:26
3151669,Kendall Jenner Sprints Through Paris Revealing Toned Abs In New Video &#8212; Watch Gorgeous&nbsp;Film,http://hollywoodlife.com/?p=3151669,37017106,"[378005372, 378005381]",[378004926],2018-05-21T11:09:56
3145770,Brynn Cartelli: 5 Things To Know About The 15-Year-Old Powerhouse On &#8216;The&nbsp;Voice&#8217;,http://hollywoodlife.com/?p=3145770,109685740,"[462, 378004978]",[179408],2018-05-21T10:50:33
3151633,Lee Brice: 5 Things To Know About Country Singer Performing At Miss USA&nbsp;2018,http://hollywoodlife.com/?p=3151633,83887747,"[378005375, 378005365]",[1854065],2018-05-21T10:45:19
